student_id,gender,department,scholarship,parental_education,extra_curricular,age,cgpa,attendance_rate,family_income,Backlogs,study_hours_per_week,assignments_submitted,projects_completed,total_activities,sports_participation,dropout,is_repeater,income_group
200003,Male,ARTS,No,Secondary,No,16,6,70,39589,3,17,11,0,9,No,0,0,low
200005,Other,CIVIL,No,Graduate,Yes,26,6,82,54394,3,17,50,2,0,No,1,0,medium
200014,Maleale,CS,No,Graduate,Yes,19,5,78,27399,6,24,15,0,2,Yes,0,0,low
200017,Female,BIO,No,Primary,No,25,6,82,42253,3,19,10,3,8,No,0,0,low
200018,Other,BIO,No,Graduate,Yes,26,7,74,32613,3,5,18,0,3,No,0,0,low
200025,Maleale,unknown,No,Secondary,No,16,6,74,56579,2,10,30,3,0,No,0,0,medium
200030,Male,ME,Yes,Postgraduate,No,26,7,73,33135,3,19,47,1,5,Yes,0,0,low
200031,Other,CS,No,Postgraduate,Yes,24,7,76,33391,3,8,55,3,4,Yes,0,0,low
200038,Male,CS,No,Secondary,Yes,26,6,90,44299,5,10,20,2,3,No,0,0,low
200039,Female,COMMERCE,No,unknown,No,25,5,92,65309,6,15,29,0,2,No,0,0,medium
200040,Maleale,BIO,Yes,unknown,Yes,16,6,71,49098,5,23,16,3,8,No,1,0,low
200042,Male,CS,No,unknown,Yes,25,5,82,40376,2,6,7,1,5,No,0,0,low
200048,Maleale,ECE,No,unknown,Yes,23,5,69,59180,3,20,39,4,6,No,0,0,medium
200056,Male,CIVIL,No,Postgraduate,No,20,5,65,38792,5,20,53,1,1,No,1,0,low
200057,Female,ECE,No,unknown,No,21,5,87,54173,2,11,45,0,1,No,1,0,medium
200060,Maleale,COMMERCE,No,Postgraduate,Yes,23,5,78,33167,3,10,6,4,8,Yes,0,0,low
200061,Maleale,COMMERCE,No,unknown,No,22,6,76,60250,3,17,1,0,5,Yes,1,0,medium
200062,Female,BIO,No,unknown,Yes,22,6,76,55562,5,14,35,2,2,No,0,0,medium
200065,Maleale,ECE,No,unknown,Yes,19,6,66,67529,4,6,26,3,5,Yes,1,0,medium
200066,Female,CIVIL,Yes,unknown,Yes,22,5,72,47638,3,5,0,2,4,No,0,0,low
200069,Male,ME,Yes,unknown,Yes,24,6,66,80231,5,14,10,2,6,No,1,0,medium
200071,Female,CIVIL,No,unknown,Yes,21,5,81,29052,2,17,37,2,0,Yes,0,0,low
200073,Other,ARTS,No,Graduate,No,19,6,60,47192,3,9,21,2,1,No,1,0,low
200074,Other,unknown,No,Graduate,Yes,19,5,87,61987,2,17,41,0,6,No,0,0,medium
200078,Female,ME,No,Secondary,Yes,24,6,100,48429,2,14,11,1,3,No,0,0,low
200079,Maleale,ME,No,unknown,Yes,18,7,72,64555,3,11,58,0,8,No,0,0,medium
200080,Female,unknown,No,unknown,No,19,5,79,74970,2,10,53,0,5,No,1,0,medium
200082,Male,BIO,No,unknown,No,25,7,71,80057,6,11,28,4,2,No,0,0,medium
200086,Maleale,COMMERCE,No,Postgraduate,No,23,5,51,72690,6,20,55,0,9,Yes,1,0,medium
200087,Maleale,CIVIL,Yes,Primary,No,24,6,76,44264,4,19,1,2,5,Yes,0,0,low
200092,Male,ECE,Yes,Primary,Yes,22,6,60,68027,5,10,5,1,4,No,1,0,medium
200098,Female,CS,No,unknown,No,25,5,60,28067,6,20,44,4,5,No,0,0,low
200101,Maleale,CIVIL,No,unknown,Yes,18,7,67,47764,6,16,32,4,3,No,1,0,low
200103,Female,BIO,No,Secondary,No,19,6,80,49911,5,21,52,1,0,Yes,0,0,low
200109,Female,CIVIL,No,Primary,No,23,7,54,54763,4,24,41,4,3,No,1,0,medium
200113,Maleale,unknown,Yes,Graduate,Yes,23,7,82,18200,4,16,53,3,9,No,0,0,low
200114,Male,CS,No,Graduate,No,26,5,85,36830,4,17,34,0,0,No,1,0,low
200117,Other,unknown,No,unknown,Yes,16,5,94,13006,6,21,36,3,2,No,1,0,low
200119,Maleale,CIVIL,No,unknown,No,16,7,65,51151,2,24,9,0,7,Yes,0,0,medium
200119,Maleale,CIVIL,No,unknown,No,16,7,65,51151,2,24,9,0,7,Yes,0,0,medium
200120,Female,CS,Yes,Secondary,Yes,25,6,64,58599,6,15,56,1,3,No,0,0,medium
200124,Female,BIO,No,unknown,Yes,24,5,76,66993,2,11,29,3,5,Yes,0,0,medium
200125,Other,ECE,Yes,Primary,Yes,20,7,57,37361,4,15,55,2,2,No,1,0,low
200129,Maleale,BIO,No,Postgraduate,No,26,6,89,37649,4,15,19,0,6,No,0,0,low
200133,Maleale,ECE,No,Postgraduate,Yes,19,6,98,65281,4,17,49,4,2,No,0,0,medium
200136,Male,CS,No,unknown,No,17,7,70,47644,2,13,44,2,1,No,0,0,low
200141,Maleale,ME,No,Graduate,Yes,25,6,56,8343,2,19,33,1,6,No,1,0,low
200146,Other,ME,No,Postgraduate,No,16,5,83,64775,2,8,17,4,5,No,0,0,medium
200147,Female,CS,No,Graduate,No,22,6,44,55025,6,14,2,4,6,No,0,0,medium
200148,Male,BIO,No,Primary,Yes,26,7,75,82448,2,6,22,4,4,Yes,0,0,medium
200149,Female,unknown,No,Secondary,Yes,16,5,70,46676,6,12,45,1,6,No,1,0,low
200150,Female,ARTS,No,Graduate,No,22,6,78,46341,5,17,46,0,8,No,0,0,low
200153,Male,BIO,No,Graduate,Yes,20,6,79,43653,4,8,29,1,6,No,0,0,low
200155,Maleale,CIVIL,No,unknown,Yes,20,7,63,26742,3,22,33,1,6,No,0,0,low
200156,Maleale,unknown,Yes,Postgraduate,Yes,20,5,58,48220,5,17,49,2,8,No,1,0,low
200159,Other,ECE,No,Graduate,Yes,21,7,60,39547,2,11,47,2,1,No,0,0,low
200161,Maleale,ARTS,Yes,Secondary,Yes,26,7,68,64125,5,14,56,4,6,No,1,0,medium
200163,Other,ECE,No,unknown,No,22,5,73,69677,3,7,52,4,9,No,1,0,medium
200164,Maleale,unknown,No,Postgraduate,No,20,6,71,66467,3,9,2,0,8,Yes,0,0,medium
200171,Male,BIO,No,unknown,No,24,5,70,76186,6,10,23,0,7,No,0,0,medium
200174,Male,ARTS,No,Secondary,Yes,24,7,81,63545,5,14,54,4,2,No,0,0,medium
200175,Maleale,unknown,No,Postgraduate,Yes,25,7,76,66470,2,10,25,3,0,No,0,0,medium
200178,Maleale,ECE,No,unknown,Yes,17,7,64,84925,3,11,54,2,5,Yes,0,0,medium
200180,Female,ECE,Yes,Primary,Yes,26,6,62,19019,4,23,31,3,5,No,1,0,low
200189,Female,COMMERCE,No,Secondary,Yes,25,7,67,49408,2,23,10,1,3,No,1,0,low
200192,Other,ECE,Yes,Secondary,Yes,19,6,77,51823,5,12,18,2,3,No,0,0,medium
